standard,standard_area,source_version,scope_or_group,role_count,base_nodes,closed_dimensions,member_counts,formula,reportable_coordinates,technical_coordinates,typed_open_dimensions,excluded_repetitions,source_locator,notes,role_codes
ESRS,E1,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E1 taxonomy roles 301031,1,22,IdentifierOfActionPlanTyped,1,22 x 1,22,22,IdentifierOfActionPlanTyped,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-301031,ReportingScopeAxis excluded from headline,301031
ESRS,E1,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E1 taxonomy roles 301032,1,9,IdentifierOfActionPlanTyped,1,9 x 1,9,9,IdentifierOfActionPlanTyped,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-301032,,301032
ESRS,E1,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,"E1 taxonomy roles 301003, 301004",2,10,IdentifierOfImpactRiskAndOpportunityTyped,1,10 x 1,10,10,IdentifierOfImpactRiskAndOpportunityTyped,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-301003;role-301004,,301003;301004
ESRS,E1,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E1 taxonomy roles 301021,1,11,IdentifierOfPolicyTyped,1,11 x 1,11,11,IdentifierOfPolicyTyped,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-301021,,301021
ESRS,E1,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E1 taxonomy roles 301097,1,20,Range; TimeHorizon,3; 4,20 x 3 x 4,240,240,,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-301097,ReportingScopeAxis excluded from headline,301097
ESRS,E1,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E1 taxonomy roles 301098,1,6,Range; TimeHorizon; NACEEconomicActivities; OperatingSegmentTyped,3; 4; 1; 1,6 x 3 x 4 x 1 x 1,72,72,OperatingSegmentTyped,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-301098,ReportingScopeAxis excluded from headline,301098
ESRS,E1,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E1 taxonomy roles 301044,1,1,Scope3GHGEmissionsCategoryGHGProtocol; CurrentlyStatedBaselineMilestonesOrTargetYears,17; 8,1 x 17 x 8,136,136,,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-301044,E1 target/emissions pathway axis counted by explicit members only; abstract current/root member not duplicated; ReportingScopeAxis excluded from headline,301044
ESRS,E1,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E1 taxonomy roles 301065,1,2,Scope3GHGEmissionsCategoryGHGProtocol; CurrentlyStatedBaselineMilestonesOrTargetYears,18; 8,2 x 18 x 8,288,288,,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-301065,E1 target/emissions pathway axis counted by explicit members only; abstract current/root member not duplicated; ReportingScopeAxis excluded from headline,301065
ESRS,E1,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,"E1 taxonomy roles 301045, 301066",2,3,Scope3GHGEmissionsCategoryISO140641; CurrentlyStatedBaselineMilestonesOrTargetYears,8; 8,3 x 8 x 8,192,192,,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-301045;role-301066,E1 target/emissions pathway axis counted by explicit members only; abstract current/root member not duplicated; ReportingScopeAxis excluded from headline,301045;301066
ESRS,E1,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E1 taxonomy roles 301033,1,3,TimeHorizon; IdentifierOfActionPlanTyped,4; 1,3 x 4 x 1,12,12,IdentifierOfActionPlanTyped,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-301033,ReportingScopeAxis excluded from headline,301033
ESRS,E1,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E1 taxonomy roles 301005,1,2,TimeHorizon; IdentifierOfImpactRiskAndOpportunityTyped,4; 1,2 x 4 x 1,8,8,IdentifierOfImpactRiskAndOpportunityTyped,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-301005,,301005
ESRS,E1,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,"E1 taxonomy roles 301001, 301011",2,26,TopicalESRS,2,26 x 2,52,52,,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-301001;role-301011,ReportingScopeAxis excluded from headline,301001;301011
ESRS,E1,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E1 taxonomy roles 301007,1,21,TopicalESRS,2,21 x 2,42,42,,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-301007,,301007
ESRS,E1,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E1 taxonomy roles 301081,1,8,TypeOfInternalCarbonPricingScheme; CurrentlyStatedBaselineMilestonesOrTargetYears,6; 3,8 x 6 x 3,144,144,,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-301081,ReportingScopeAxis excluded from headline,301081
ESRS,E1,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E1 taxonomy roles 301072,1,7,UndertakingScope; CurrentlyStatedBaselineMilestonesOrTargetYears; NameOfRemovalAndStorageActivityTyped,5; 3; 1,7 x 5 x 3 x 1,105,105,NameOfRemovalAndStorageActivityTyped,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-301072,ReportingScopeAxis excluded from headline,301072
ESRS,E1,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E1 taxonomy roles 301068,1,6,ValueChain; CurrentlyStatedBaselineMilestonesOrTargetYears,5; 3,6 x 5 x 3,90,90,,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-301068,ReportingScopeAxis excluded from headline,301068
ESRS,E1,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,"E1 taxonomy roles 301095, 301096",2,41,none,1,41 x 1,41,41,,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-301095;role-301096,ReportingScopeAxis excluded from headline,301095;301096
ESRS,E2,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E2 taxonomy roles 302041,1,18,CurrentlyStatedBaselineMilestonesOrTargetYears,3,18 x 3,54,54,,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-302041,ReportingScopeAxis excluded from headline,302041
ESRS,E2,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E2 taxonomy roles 302031,1,37,CurrentlyStatedBaselineMilestonesOrTargetYears; IdentifierOfTargetTyped,3; 1,37 x 3 x 1,111,111,IdentifierOfTargetTyped,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-302031,ReportingScopeAxis excluded from headline,302031
ESRS,E2,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E2 taxonomy roles 302021,1,20,IdentifierOfActionPlanTyped,1,20 x 1,20,20,IdentifierOfActionPlanTyped,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-302021,ReportingScopeAxis excluded from headline,302021
ESRS,E2,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E2 taxonomy roles 302022,1,4,IdentifierOfActionPlanTyped,1,4 x 1,4,4,IdentifierOfActionPlanTyped,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-302022,,302022
ESRS,E2,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E2 taxonomy roles 302011,1,14,IdentifierOfPolicyTyped,1,14 x 1,14,14,IdentifierOfPolicyTyped,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-302011,,302011
ESRS,E2,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E2 taxonomy roles 302042,1,3,Pollutant; Range; CurrentlyStatedBaselineMilestonesOrTargetYears,92; 3; 3,3 x 92 x 3 x 3,2484,2484,,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-302042,ReportingScopeAxis excluded from headline,302042
ESRS,E2,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E2 taxonomy roles 302043,1,3,Pollutant; Range; CurrentlyStatedBaselineMilestonesOrTargetYears; ESRSSEC1Sectors,92; 3; 3; 1,3 x 92 x 3 x 3 x 1,2484,2484,,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-302043,ReportingScopeAxis excluded from headline,302043
ESRS,E2,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E2 taxonomy roles 302045,1,3,Range; CurrentlyStatedBaselineMilestonesOrTargetYears; ESRSSEC1Sectors,3; 3; 1,3 x 3 x 3 x 1,27,27,,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-302045,ReportingScopeAxis excluded from headline,302045
ESRS,E2,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E2 taxonomy roles 302046,1,3,Range; CurrentlyStatedBaselineMilestonesOrTargetYears; ESRSSEC1Sectors; TypeOfSourceTyped; GeographicalAreaTyped; SiteLocationTyped,3; 3; 1; 1; 1; 1,3 x 3 x 3 x 1 x 1 x 1 x 1,27,27,TypeOfSourceTyped; GeographicalAreaTyped; SiteLocationTyped,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-302046,ReportingScopeAxis excluded from headline,302046
ESRS,E2,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E2 taxonomy roles 302044,1,3,Range; Pollutant; CurrentlyStatedBaselineMilestonesOrTargetYears; ESRSSEC1Sectors; SiteLocationTyped; TypeOfSourceTyped; GeographicalAreaTyped,3; 92; 3; 1; 1; 1; 1,3 x 3 x 92 x 3 x 1 x 1 x 1 x 1,2484,2484,SiteLocationTyped; TypeOfSourceTyped; GeographicalAreaTyped,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-302044,ReportingScopeAxis excluded from headline,302044
ESRS,E2,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E2 taxonomy roles 302063,1,10,Range; TimeHorizon; TopicalESRS,3; 4; 2,10 x 3 x 4 x 2,240,240,,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-302063,ReportingScopeAxis excluded from headline,302063
ESRS,E2,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E2 taxonomy roles 302052,1,12,SubstancesProductionUseDistributionOrCommercialisationImportAndExport; HazardCategories; CurrentlyStatedBaselineMilestonesOrTargetYears; NameOfOtherHazardClassTyped,6; 9; 3; 1,12 x 6 x 9 x 3 x 1,1944,1944,NameOfOtherHazardClassTyped,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-302052,ReportingScopeAxis excluded from headline,302052
ESRS,E2,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E2 taxonomy roles 302051,1,12,SubstancesProductionUseDistributionOrCommercialisationImportAndExport; HazardCategories; HazardClasses; CurrentlyStatedBaselineMilestonesOrTargetYears,6; 9; 18; 3,12 x 6 x 9 x 18 x 3,34992,34992,,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-302051,ReportingScopeAxis excluded from headline,302051
ESRS,E2,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E2 taxonomy roles 302023,1,4,TimeHorizon; IdentifierOfActionPlanTyped,4; 1,4 x 4 x 1,16,16,IdentifierOfActionPlanTyped,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-302023,ReportingScopeAxis excluded from headline,302023
ESRS,E2,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E2 taxonomy roles 302007,1,5,TopicalESRS,2,5 x 2,10,10,,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-302007,,302007
ESRS,E2,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E2 taxonomy roles 302062,1,9,TopicalESRS,2,9 x 2,18,18,,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-302062,ReportingScopeAxis excluded from headline,302062
ESRS,E3,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E3 taxonomy roles 303041,1,17,CurrentlyStatedBaselineMilestonesOrTargetYears,3,17 x 3,51,51,,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-303041,ReportingScopeAxis excluded from headline,303041
ESRS,E3,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E3 taxonomy roles 303042,1,10,CurrentlyStatedBaselineMilestonesOrTargetYears; ESRSSEC1Sectors,3; 1,10 x 3 x 1,30,30,,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-303042,ReportingScopeAxis excluded from headline,303042
ESRS,E3,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E3 taxonomy roles 303043,1,10,CurrentlyStatedBaselineMilestonesOrTargetYears; ESRSSEC1Sectors; OperatingSegmentTyped,3; 1; 1,10 x 3 x 1 x 1,30,30,OperatingSegmentTyped,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-303043,ReportingScopeAxis excluded from headline,303043
ESRS,E3,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E3 taxonomy roles 303031,1,37,CurrentlyStatedBaselineMilestonesOrTargetYears; IdentifierOfTargetTyped,3; 1,37 x 3 x 1,111,111,IdentifierOfTargetTyped,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-303031,ReportingScopeAxis excluded from headline,303031
ESRS,E3,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E3 taxonomy roles 303021,1,22,IdentifierOfActionPlanTyped,1,22 x 1,22,22,IdentifierOfActionPlanTyped,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-303021,ReportingScopeAxis excluded from headline,303021
ESRS,E3,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E3 taxonomy roles 303022,1,4,IdentifierOfActionPlanTyped,1,4 x 1,4,4,IdentifierOfActionPlanTyped,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-303022,,303022
ESRS,E3,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E3 taxonomy roles 303011,1,25,IdentifierOfPolicyTyped,1,25 x 1,25,25,IdentifierOfPolicyTyped,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-303011,,303011
ESRS,E3,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E3 taxonomy roles 303053,1,4,Range; TimeHorizon; TopicalESRS,3; 4; 2,4 x 3 x 4 x 2,96,96,,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-303053,,303053
ESRS,E3,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E3 taxonomy roles 303023,1,6,TimeHorizon; IdentifierOfActionPlanTyped,4; 1,6 x 4 x 1,24,24,IdentifierOfActionPlanTyped,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-303023,ReportingScopeAxis excluded from headline,303023
ESRS,E3,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,"E3 taxonomy roles 303007, 303052",2,9,TopicalESRS,2,9 x 2,18,18,,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-303007;role-303052,,303007;303052
ESRS,E4,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E4 taxonomy roles 304051,1,26,CurrentlyStatedBaselineMilestonesOrTargetYears,3,26 x 3,78,78,,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-304051,ReportingScopeAxis excluded from headline,304051
ESRS,E4,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E4 taxonomy roles 304041,1,36,CurrentlyStatedBaselineMilestonesOrTargetYears; IdentifierOfTargetTyped,3; 1,36 x 3 x 1,108,108,IdentifierOfTargetTyped,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-304041,ReportingScopeAxis excluded from headline,304041
ESRS,E4,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E4 taxonomy roles 304005,1,3,EcologicalStatusOfAreasTyped,1,3 x 1,3,3,EcologicalStatusOfAreasTyped,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-304005,,304005
ESRS,E4,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E4 taxonomy roles 304031,1,33,IdentifierOfActionPlanTyped,1,33 x 1,33,33,IdentifierOfActionPlanTyped,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-304031,ReportingScopeAxis excluded from headline,304031
ESRS,E4,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E4 taxonomy roles 304032,1,7,IdentifierOfActionPlanTyped,1,7 x 1,7,7,IdentifierOfActionPlanTyped,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-304032,,304032
ESRS,E4,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,"E4 taxonomy roles 304004, 304012",2,15,IdentifierOfImpactRiskAndOpportunityTyped,1,15 x 1,15,15,IdentifierOfImpactRiskAndOpportunityTyped,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-304004;role-304012,,304004;304012
ESRS,E4,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E4 taxonomy roles 304021,1,28,IdentifierOfPolicyTyped,1,28 x 1,28,28,IdentifierOfPolicyTyped,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-304021,,304021
ESRS,E4,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E4 taxonomy roles 304052,1,16,NamesOfMetricsTyped,1,16 x 1,16,16,NamesOfMetricsTyped,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-304052,ReportingScopeAxis excluded from headline,304052
ESRS,E4,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E4 taxonomy roles 304063,1,4,Range; TimeHorizon; TopicalESRS,3; 4; 2,4 x 3 x 4 x 2,96,96,,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-304063,,304063
ESRS,E4,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E4 taxonomy roles 304033,1,4,TimeHorizon; IdentifierOfActionPlanTyped,4; 1,4 x 4 x 1,16,16,IdentifierOfActionPlanTyped,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-304033,ReportingScopeAxis excluded from headline,304033
ESRS,E4,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,"E4 taxonomy roles 304007, 304011, 304062",3,37,TopicalESRS,2,37 x 2,74,74,,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-304007;role-304011;role-304062,,304007;304011;304062
ESRS,E4,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E4 taxonomy roles 304053,1,2,TopicalESRS; NamesOfMetricsTyped,5; 1,2 x 5 x 1,10,10,NamesOfMetricsTyped,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-304053,,304053
ESRS,E4,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E4 taxonomy roles 304054,1,6,TypeOfEcosystemTyped,1,6 x 1,6,6,TypeOfEcosystemTyped,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-304054,,304054
ESRS,E5,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,"E5 taxonomy roles 305041, 305051",2,23,CurrentlyStatedBaselineMilestonesOrTargetYears,3,23 x 3,69,69,,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-305041;role-305051,ReportingScopeAxis excluded from headline,305041;305051
ESRS,E5,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E5 taxonomy roles 305031,1,37,CurrentlyStatedBaselineMilestonesOrTargetYears; IdentifierOfTargetTyped,3; 1,37 x 3 x 1,111,111,IdentifierOfTargetTyped,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-305031,ReportingScopeAxis excluded from headline,305031
ESRS,E5,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E5 taxonomy roles 305021,1,24,IdentifierOfActionPlanTyped,1,24 x 1,24,24,IdentifierOfActionPlanTyped,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-305021,ReportingScopeAxis excluded from headline,305021
ESRS,E5,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E5 taxonomy roles 305022,1,10,IdentifierOfActionPlanTyped,1,10 x 1,10,10,IdentifierOfActionPlanTyped,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-305022,,305022
ESRS,E5,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E5 taxonomy roles 305011,1,15,IdentifierOfPolicyTyped,1,15 x 1,15,15,IdentifierOfPolicyTyped,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-305011,,305011
ESRS,E5,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E5 taxonomy roles 305052,1,3,NameOfProductTyped,1,3 x 1,3,3,NameOfProductTyped,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-305052,,305052
ESRS,E5,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E5 taxonomy roles 305063,1,4,Range; TimeHorizon; TopicalESRS,3; 4; 2,4 x 3 x 4 x 2,96,96,,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-305063,,305063
ESRS,E5,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,E5 taxonomy roles 305023,1,3,TimeHorizon; IdentifierOfActionPlanTyped,4; 1,3 x 4 x 1,12,12,IdentifierOfActionPlanTyped,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-305023,ReportingScopeAxis excluded from headline,305023
ESRS,E5,EFRAG ESRS Set 1 XBRL taxonomy 2024-08-30,"E5 taxonomy roles 305007, 305062",2,9,TopicalESRS,2,9 x 2,18,18,,period; perimeter; entity; site; location; company master data; ReportingScopeAxis current/previous-restatement axis,role-305007;role-305062,,305007;305062
