identifier,variable,area_esg,estandar,codeESRS,codeGRI,unidad,tipo_unidad,frecuencia,tipo_valor,definicion,origen_definicion,origen_dato_operativo,evaluacion_doble_materialidad
urn:sds:reg:esrs:bp_2_17,Disclosure of reference to paragraphs of standard or framework applied,Transversal/General,ESRS/CSRD,BP-2_17,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS 2 BP-2, paragraph 15).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:bp_2_18,European standards approved by European Standardisation System (ISO/IEC or CEN/CENELEC standards) have been relied on,Transversal/General,ESRS/CSRD,BP-2_18,,Boolean,Boolean,annual,boolean,"Disclosure datapoint as defined in IG3 (ESRS 2 BP-2, paragraph ar.2).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:bp_2_19,Disclosure of extent to which data and processes that are used for sustainability reporting purposes have been verified by external assurance provider and found to conform to corresponding ISO/IEC or CEN/CENELEC standard,Transversal/General,ESRS/CSRD,BP-2_19,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS 2 BP-2, paragraph ar.2).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:bp_2_20,List of DRs or DPs incorporated by reference,Transversal/General,ESRS/CSRD,BP-2_20,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS 2 BP-2, paragraph 16).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:bp_2_21,"Topics (E4, S1, S2, S3, S4) have been assessed to be material",Transversal/General,ESRS/CSRD,BP-2_21,,Boolean,Boolean,annual,boolean,"Disclosure datapoint as defined in IG3 (ESRS 2 BP-2, paragraph 17).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:bp_2_22,List of sustainability matters assessed to be material (phase-in),Transversal/General,ESRS/CSRD,BP-2_22,,Text,Text,annual,semi-narrative,"Disclosure datapoint as defined in IG3 (ESRS 2 BP-2, paragraph 17.a).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:bp_2_23,Disclosure of how business model and strategy take account of impacts related to sustainability matters assessed to be material (phase-in),Transversal/General,ESRS/CSRD,BP-2_23,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS 2 BP-2, paragraph 17.a).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:bp_2_24,Description of any time-bound targets set related to sustainability matters assessed to be material (phase-in) and progress made towards achieving those targets,Transversal/General,ESRS/CSRD,BP-2_24,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS 2 BP-2, paragraph 17.b).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:bp_2_25,Description of policies related to sustainability matters assessed to be material (phase-in),Transversal/General,ESRS/CSRD,BP-2_25,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS 2 BP-2, paragraph 17.c).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:bp_2_26,"Description of actions taken to identify, monitor, prevent, mitigate, remediate or bring end to actual or potential adverse impacts related to sustainability matters assessed to be material (phase-in) and result of such actions",Transversal/General,ESRS/CSRD,BP-2_26,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS 2 BP-2, paragraph 17.d).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:bp_2_27,Disclosure of metrics related to sustainability matters assessed to be material (phase-in),Transversal/General,ESRS/CSRD,BP-2_27,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS 2 BP-2, paragraph 17.e).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_1_01,Disclosure of transition plan for climate change mitigation,Ambiental,ESRS/CSRD,E1-1_01,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E1-1, paragraph 14).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_1_02,Explanation of how targets are compatible with limiting of global warming to one and half degrees Celsius in line with Paris Agreement,Ambiental,ESRS/CSRD,E1-1_02,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E1-1, paragraph 16.a).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_1_03,Disclosure of decarbonisation levers and key action,Ambiental,ESRS/CSRD,E1-1_03,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E1-1, paragraph 16.b).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_1_04,Disclosure of significant operational expenditures (Opex) and (or) capital expenditures (Capex) required for implementation of action plan,Ambiental,ESRS/CSRD,E1-1_04,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E1-1, paragraph 16.c).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_1_05,Financial resources allocated to action plan (OpEx),Ambiental,ESRS/CSRD,E1-1_05,,EUR,Currency,annual,monetary,"Disclosure datapoint as defined in IG3 (ESRS E1-1, paragraph 16.c).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_1_06,Financial resources allocated to action plan (CapEx),Ambiental,ESRS/CSRD,E1-1_06,,EUR,Currency,annual,monetary,"Disclosure datapoint as defined in IG3 (ESRS E1-1, paragraph 16.c).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_1_07,Explanation of potential locked-in GHG emissions from key assets and products and of how locked-in GHG emissions may jeopardise achievement of GHG emission reduction targets and drive transition risk,Ambiental,ESRS/CSRD,E1-1_07,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E1-1, paragraph 16.d).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_1_08,"Explanation of any objective or plans (CapEx, CapEx plans, OpEx) for aligning economic activities (revenues, CapEx, OpEx) with criteria established in Commission Delegated Regulation 2021/2139",Ambiental,ESRS/CSRD,E1-1_08,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E1-1, paragraph 16.e).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_1_09,Significant CapEx for coal-related economic activities,Ambiental,ESRS/CSRD,E1-1_09,,EUR,Currency,annual,monetary,"Disclosure datapoint as defined in IG3 (ESRS E1-1, paragraph 16.f).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_1_10,Significant CapEx for oil-related economic activities,Ambiental,ESRS/CSRD,E1-1_10,,EUR,Currency,annual,monetary,"Disclosure datapoint as defined in IG3 (ESRS E1-1, paragraph 16.f).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_1_11,Significant CapEx for gas-related economic activities,Ambiental,ESRS/CSRD,E1-1_11,,EUR,Currency,annual,monetary,"Disclosure datapoint as defined in IG3 (ESRS E1-1, paragraph 16.f).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_1_12,Undertaking is excluded from EU Paris-aligned Benchmarks,Ambiental,ESRS/CSRD,E1-1_12,,Boolean,Boolean,annual,boolean,"Disclosure datapoint as defined in IG3 (ESRS E1-1, paragraph 16.g).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_1_13,Explanation of how transition plan is embedded in and aligned with overall business strategy and financial planning,Ambiental,ESRS/CSRD,E1-1_13,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E1-1, paragraph 16.h).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_1_14,"Transition plan is approved by administrative, management and supervisory bodies",Ambiental,ESRS/CSRD,E1-1_14,,Boolean,Boolean,annual,boolean,"Disclosure datapoint as defined in IG3 (ESRS E1-1, paragraph 16.i).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_1_15,Explanation of progress in implementing transition plan,Ambiental,ESRS/CSRD,E1-1_15,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E1-1, paragraph 16.j).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_1_16,Date of adoption of transition plan for undertakings not having adopted transition plan yet,Ambiental,ESRS/CSRD,E1-1_16,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E1-1, paragraph 17).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_2_01,Sustainability matters addressed by policy for climate change,Ambiental,ESRS/CSRD,E1-2_01,,Text,Text,annual,semi-narrative,"Disclosure datapoint as defined in IG3 (ESRS E1-2, paragraph 25).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_3_01,Decarbonisation lever type,Ambiental,ESRS/CSRD,E1-3_01,,Text,Text,annual,semi-narrative,"Disclosure datapoint as defined in IG3 (ESRS E1-3, paragraph 29.a).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_3_02,Adaptation solution type,Ambiental,ESRS/CSRD,E1-3_02,,Text,Text,annual,semi-narrative,"Disclosure datapoint as defined in IG3 (ESRS E1-3, paragraph AR19d).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_3_03,Achieved GHG emission reductions,Ambiental,ESRS/CSRD,E1-3_03,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E1-3, paragraph 29.b).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_3_04,Expected GHG emission reductions,Ambiental,ESRS/CSRD,E1-3_04,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E1-3, paragraph 29.b).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_3_05,Explanation of extent to which ability to implement action depends on availability and allocation of resources,Ambiental,ESRS/CSRD,E1-3_05,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E1-3, paragraph AR21).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_3_06,Explanation of relationship of significant CapEx and OpEx required to implement actions taken or planned to relevant line items or notes in financial statements,Ambiental,ESRS/CSRD,E1-3_06,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E1-3, paragraph 29.c.i).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_3_07,Explanation of relationship of significant CapEx and OpEx required to implement actions taken or planned to key performance indicators required under Commission Delegated Regulation (EU) 2021/2178,Ambiental,ESRS/CSRD,E1-3_07,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E1-3, paragraph 29.c.ii.16.c).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_3_08,Explanation of relationship of significant CapEx and OpEx required to implement actions taken or planned to CapEx plan required by Commission Delegated Regulation (EU) 2021/2178,Ambiental,ESRS/CSRD,E1-3_08,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E1-3, paragraph 29.c.iii.16.c).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_4_01,"Disclosure of whether and how GHG emissions reduction targets and (or) any other targets have been set to manage material climate-related impacts, risks and opportunities",Ambiental,ESRS/CSRD,E1-4_01,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E1-4, paragraph 33).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_4_02,"Tables: Multiple Dimensions (baseline year and targets; GHG Types, Scope 3 Categories, Decarbonisation levers, entity-specific denominators for intensity value)",Ambiental,ESRS/CSRD,E1-4_02,,Text,,annual,table,"Disclosure datapoint as defined in IG3 (ESRS E1-4, paragraph 34.a.+.34.b).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_4_03,Absolute value of total Greenhouse gas emissions reduction,Ambiental,ESRS/CSRD,E1-4_03,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E1-4, paragraph 34.a.+.34.b).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_4_04,Percentage of total Greenhouse gas emissions reduction (as of emissions of base year),Ambiental,ESRS/CSRD,E1-4_04,,percent,Ratio,annual,numeric,"Disclosure datapoint as defined in IG3 (ESRS E1-4, paragraph 34.a.+.34.b).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_4_05,Intensity value of total Greenhouse gas emissions reduction,Ambiental,ESRS/CSRD,E1-4_05,,count,Count,annual,numeric,"Disclosure datapoint as defined in IG3 (ESRS E1-4, paragraph 34.a.+.34.b).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_4_06,Absolute value of Scope 1 Greenhouse gas emissions reduction,Ambiental,ESRS/CSRD,E1-4_06,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E1-4, paragraph 34.a.+.34.b).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_4_07,Percentage of Scope 1 Greenhouse gas emissions reduction (as of emissions of base year),Ambiental,ESRS/CSRD,E1-4_07,,percent,Ratio,annual,numeric,"Disclosure datapoint as defined in IG3 (ESRS E1-4, paragraph 34.a.+.34.b).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_4_08,Intensity value of Scope 1 Greenhouse gas emissions reduction,Ambiental,ESRS/CSRD,E1-4_08,,count,Count,annual,numeric,"Disclosure datapoint as defined in IG3 (ESRS E1-4, paragraph 34.a.+.34.b).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_4_09,Absolute value of location-based Scope 2 Greenhouse gas emissions reduction,Ambiental,ESRS/CSRD,E1-4_09,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E1-4, paragraph 34.a.+.34.b).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_4_10,Percentage of location-based Scope 2 Greenhouse gas emissions reduction (as of emissions of base year),Ambiental,ESRS/CSRD,E1-4_10,,percent,Ratio,annual,numeric,"Disclosure datapoint as defined in IG3 (ESRS E1-4, paragraph 34.a.+.34.b).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_4_11,Intensity value of location-based Scope 2 Greenhouse gas emissions reduction,Ambiental,ESRS/CSRD,E1-4_11,,count,Count,annual,numeric,"Disclosure datapoint as defined in IG3 (ESRS E1-4, paragraph 34.a.+.34.b).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_4_12,Absolute value of market-based Scope 2 Greenhouse gas emissions reduction,Ambiental,ESRS/CSRD,E1-4_12,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E1-4, paragraph 34.a.+.34.b).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_4_13,Percentage of market-based Scope 2 Greenhouse gas emissions reduction (as of emissions of base year),Ambiental,ESRS/CSRD,E1-4_13,,percent,Ratio,annual,numeric,"Disclosure datapoint as defined in IG3 (ESRS E1-4, paragraph 34.a.+.34.b).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_4_14,Intensity value of market-based Scope 2 Greenhouse gas emissions reduction,Ambiental,ESRS/CSRD,E1-4_14,,count,Count,annual,numeric,"Disclosure datapoint as defined in IG3 (ESRS E1-4, paragraph 34.a.+.34.b).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_4_15,Absolute value of Scope 3 Greenhouse gas emissions reduction,Ambiental,ESRS/CSRD,E1-4_15,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E1-4, paragraph 34.a.+.34.b).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_4_16,Percentage of Scope 3 Greenhouse gas emissions reduction (as of emissions of base year),Ambiental,ESRS/CSRD,E1-4_16,,percent,Ratio,annual,numeric,"Disclosure datapoint as defined in IG3 (ESRS E1-4, paragraph 34.a.+.34.b).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_4_17,Intensity value of Scope 3 Greenhouse gas emissions reduction,Ambiental,ESRS/CSRD,E1-4_17,,count,Count,annual,numeric,"Disclosure datapoint as defined in IG3 (ESRS E1-4, paragraph 34.a.+.34.b).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_4_18,Explanation of how consistency of GHG emission reduction targets with GHG inventory boundaries has been ensured,Ambiental,ESRS/CSRD,E1-4_18,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E1-4, paragraph 34.b).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_4_19,Disclosure of past progress made in meeting target before current base year,Ambiental,ESRS/CSRD,E1-4_19,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E1-4, paragraph 34.c).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_4_20,Description of how it has been ensured that baseline value is representative in terms of activities covered and influences from external factors,Ambiental,ESRS/CSRD,E1-4_20,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E1-4, paragraph ar.25.a).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_4_21,"Description of how new baseline value affects new target, its achievement and presentation of progress over time",Ambiental,ESRS/CSRD,E1-4_21,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E1-4, paragraph ar.25.b).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_4_22,GHG emission reduction target is science based and compatible with limiting global warming to one and half degrees Celsius,Ambiental,ESRS/CSRD,E1-4_22,,Boolean,Boolean,annual,boolean,"Disclosure datapoint as defined in IG3 (ESRS E1-4, paragraph 34.e.16.a).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_4_23,Description of expected decarbonisation levers and their overall quantitative contributions to achieve GHG emission reduction target,Ambiental,ESRS/CSRD,E1-4_23,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E1-4, paragraph 34.f.16.b).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_4_24,"Diverse range of climate scenarios have been considered to detect relevant environmental, societal, technology, market and policy-related developments and determine decarbonisation levers",Ambiental,ESRS/CSRD,E1-4_24,,Text,Boolean,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E1-4, paragraph ar.30.c).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_5_01,Total energy consumption related to own operations,Ambiental,ESRS/CSRD,E1-5_01,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E1-5, paragraph 37).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_5_02,Total energy consumption from fossil sources,Ambiental,ESRS/CSRD,E1-5_02,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E1-5, paragraph 37.a).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_5_03,Total energy consumption from nuclear sources,Ambiental,ESRS/CSRD,E1-5_03,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E1-5, paragraph 37.b).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_5_04,Percentage of energy consumption from nuclear sources in total energy consumption,Ambiental,ESRS/CSRD,E1-5_04,,percent,Ratio,annual,numeric,"Disclosure datapoint as defined in IG3 (ESRS E1-5, paragraph ar.34).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_5_05,Total energy consumption from renewable sources,Ambiental,ESRS/CSRD,E1-5_05,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E1-5, paragraph 37.c).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_5_06,Fuel consumption from renewable sources,Ambiental,ESRS/CSRD,E1-5_06,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E1-5, paragraph 37.c.i).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_5_07,"Consumption of purchased or acquired electricity, heat, steam, and cooling from renewable sources",Ambiental,ESRS/CSRD,E1-5_07,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E1-5, paragraph 37.c.ii).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_5_08,Consumption of self-generated non-fuel renewable energy,Ambiental,ESRS/CSRD,E1-5_08,,Text,Text,annual,narrative,"Disclosure datapoint as defined in IG3 (ESRS E1-5, paragraph 37.c.iii).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_5_09,Percentage of renewable sources in total energy consumption,Ambiental,ESRS/CSRD,E1-5_09,,percent,Ratio,annual,numeric,"Disclosure datapoint as defined in IG3 (ESRS E1-5, paragraph ar.34).",external-standard,entity-specific,entity-assessment-required
urn:sds:reg:esrs:e1_5_10,Fuel consumption from coal and coal products,Ambiental,ESRS/CSRD,E1-5_10,,MWh,Mass,annual,numeric,"Fuel consumption from coal and coal products in own operations (energy content), as required by ESRS E1-5, paragraph 38(a) and AR 34, table row (1).",external-standard,entity-specific,entity-assessment-required
